央视频道,#genre#
CCTV1,http://120.196.235.42:9901/tsfile/live/1020_1.m3u8?key=txiptv
CCTV2,http://120.196.235.42:9901/tsfile/live/1021_1.m3u8?key=txiptv
CCTV3,http://120.196.235.42:9901/tsfile/live/1022_1.m3u8?key=txiptv
CCTV4,http://120.196.235.42:9901/tsfile/live/1023_1.m3u8?key=txiptv
CCTV5,http://120.196.235.42:9901/tsfile/live/1024_1.m3u8?key=txiptv
CCTV5+,http://120.196.235.42:9901/tsfile/live/1025_1.m3u8?key=txiptv
CCTV6,http://120.196.235.42:9901/tsfile/live/1026_1.m3u8?key=txiptv
CCTV7,http://120.196.235.42:9901/tsfile/live/1027_1.m3u8?key=txiptv
CCTV8,http://120.196.235.42:9901/tsfile/live/1028_1.m3u8?key=txiptv
CCTV9,http://120.196.235.42:9901/tsfile/live/1029_1.m3u8?key=txiptv
CCTV10,http://120.196.235.42:9901/tsfile/live/1030_1.m3u8?key=txiptv
CCTV11,http://120.196.235.42:9901/tsfile/live/1031_1.m3u8?key=txiptv
CCTV12,http://120.196.235.42:9901/tsfile/live/1032_1.m3u8?key=txiptv
CCTV13,http://120.196.235.42:9901/tsfile/live/1033_1.m3u8?key=txiptv
CCTV14,http://120.196.235.42:9901/tsfile/live/1034_1.m3u8?key=txiptv
CCTV15,http://120.196.235.42:9901/tsfile/live/1035_1.m3u8?key=txiptv
CCTV风云音乐,http://120.196.235.42:9901/tsfile/live/1096_1.m3u8?key=txiptv
CCTV世界地理,http://120.196.235.42:9901/tsfile/live/1095_1.m3u8?key=txiptv
CCTV第一剧场,http://120.196.235.42:9901/tsfile/live/1093_1.m3u8?key=txiptv
CCTV风云剧场,http://120.196.235.42:9901/tsfile/live/1097_1.m3u8?key=txiptv
CCTV风云足球,http://120.196.235.42:9901/tsfile/live/1094_1.m3u8?key=txiptv
CCTV怀旧剧场,http://120.196.235.42:9901/tsfile/live/1098_1.m3u8?key=txiptv
卫视频道,#genre#
湖南卫视,http://120.196.235.42:9901/tsfile/live/1048_1.m3u8?key=txiptv
浙江卫视,http://120.196.235.42:9901/tsfile/live/1049_1.m3u8?key=txiptv
江苏卫视,http://120.196.235.42:9901/tsfile/live/1050_1.m3u8?key=txiptv
北京卫视,http://120.196.235.42:9901/tsfile/live/1055_1.m3u8?key=txiptv
东方卫视,http://120.196.235.42:9901/tsfile/live/1051_1.m3u8?key=txiptv
安徽卫视,http://120.196.235.42:9901/tsfile/live/1065_1.m3u8?key=txiptv
广东卫视,http://120.196.235.42:9901/tsfile/live/1010_1.m3u8?key=txiptv
深圳卫视,http://120.196.235.42:9901/tsfile/live/1059_1.m3u8?key=txiptv
辽宁卫视,http://120.196.235.42:9901/tsfile/live/1061_1.m3u8?key=txiptv
山东卫视,http://120.196.235.42:9901/tsfile/live/1057_1.m3u8?key=txiptv
天津卫视,http://120.196.235.42:9901/tsfile/live/1056_1.m3u8?key=txiptv
重庆卫视,http://120.196.235.42:9901/tsfile/live/1068_1.m3u8?key=txiptv
东南卫视,http://120.196.235.42:9901/tsfile/live/1070_1.m3u8?key=txiptv
广西卫视,http://120.196.235.42:9901/tsfile/live/1074_1.m3u8?key=txiptv
贵州卫视,http://120.196.235.42:9901/tsfile/live/1062_1.m3u8?key=txiptv
河北卫视,http://120.196.235.42:9901/tsfile/live/1069_1.m3u8?key=txiptv
黑龙江卫视,http://120.196.235.42:9901/tsfile/live/1054_1.m3u8?key=txiptv
湖北卫视,http://120.196.235.42:9901/tsfile/live/1060_1.m3u8?key=txiptv
江西卫视,http://120.196.235.42:9901/tsfile/live/1058_1.m3u8?key=txiptv
吉林卫视,http://120.196.235.42:9901/tsfile/live/1071_1.m3u8?key=txiptv
宁夏卫视,http://120.196.235.42:9901/tsfile/live/1083_1.m3u8?key=txiptv
山���卫视,http://120.196.235.42:9901/tsfile/live/1078_1.m3u8?key=txiptv
陕西卫视,http://120.196.235.42:9901/tsfile/live/1077_1.m3u8?key=txiptv
四川卫视,http://120.196.235.42:9901/tsfile/live/1063_1.m3u8?key=txiptv
西藏卫视,http://120.196.235.42:9901/tsfile/live/1084_1.m3u8?key=txiptv
兵团卫视,http://120.196.235.42:9901/tsfile/live/1087_1.m3u8?key=txiptv
哈哈炫动,http://120.196.235.42:9901/tsfile/live/1040_1.m3u8?key=txiptv
金鹰卡通,http://120.196.235.42:9901/tsfile/live/1039_1.m3u8?key=txiptv
嘉佳卡通,http://120.196.235.42:9901/tsfile/live/1041_1.m3u8?key=txiptv
电影频道,#genre#
影迷电影,http://120.196.235.42:9901/tsfile/live/1046_1.m3u8?key=txiptv
经典电影,http://120.196.235.42:9901/tsfile/live/1045_1.m3u8?key=txiptv
港澳频道,#genre#
翡翠台,http://120.196.235.42:9901/tsfile/live/1006_1.m3u8?key=txiptv
华中地区,#genre#
金鹰纪实,http://120.196.235.42:9901/tsfile/live/1064_1.m3u8?key=txiptv
华南地区,#genre#
广东体育,http://120.196.235.42:9901/tsfile/live/1014_1.m3u8?key=txiptv
广东珠江,http://120.196.235.42:9901/tsfile/live/1011_1.m3u8?key=txiptv
广东公共,http://120.196.235.42:9901/tsfile/live/1013_1.m3u8?key=txiptv
广东新闻,http://120.196.235.42:9901/tsfile/live/1012_1.m3u8?key=txiptv
广州综合,http://120.196.235.42:9901/tsfile/live/1043_1.m3u8?key=txiptv
深圳体育,http://120.196.235.42:9901/tsfile/live/1052_1.m3u8?key=txiptv
深圳都市,http://120.196.235.42:9901/tsfile/live/1001_1.m3u8?key=txiptv
珠海-1,http://120.196.235.42:9901/tsfile/live/1009_1.m3u8?key=txiptv
揭阳综合,http://120.196.235.42:9901/tsfile/live/1044_1.m3u8?key=txiptv
云浮综合,http://120.196.235.42:9901/tsfile/live/1015_1.m3u8?key=txiptv
河源综合,http://120.196.235.42:9901/tsfile/live/1100_1.m3u8?key=txiptv
河源公共,http://120.196.235.42:9901/tsfile/live/1101_1.m3u8?key=txiptv
其他频道,#genre#
上海纪实,http://120.196.235.42:9901/tsfile/live/1067_1.m3u8?key=txiptv
五华,http://120.196.235.42:9901/tsfile/live/1000_1.m3u8?key=txiptv
内蒙古,http://120.196.235.42:9901/tsfile/live/1079_1.m3u8?key=txiptv
凤凰卫视,http://120.196.235.42:9901/tsfile/live/1036_1.m3u8?key=txiptv
南方一,http://120.196.235.42:9901/tsfile/live/1016_1.m3u8?key=txiptv
南方二,http://120.196.235.42:9901/tsfile/live/1017_1.m3u8?key=txiptv
南方五,http://120.196.235.42:9901/tsfile/live/1019_1.m3u8?key=txiptv
南方四,http://120.196.235.42:9901/tsfile/live/1018_1.m3u8?key=txiptv
南方购物,http://120.196.235.42:9901/tsfile/live/1106_1.m3u8?key=txiptv
央视文化,http://120.196.235.42:9901/tsfile/live/1099_1.m3u8?key=txiptv
少儿动画,http://120.196.235.42:9901/tsfile/live/1042_1.m3u8?key=txiptv
少儿卫视,http://120.196.235.42:9901/tsfile/live/1038_1.m3u8?key=txiptv
山歌台,http://120.196.235.42:9901/tsfile/live/1004_1.m3u8?key=txiptv
广东移动,http://120.196.235.42:9901/tsfile/live/1105_1.m3u8?key=txiptv
惠州1,http://120.196.235.42:9901/tsfile/live/1103_1.m3u8?key=txiptv
房产,http://120.196.235.42:9901/tsfile/live/1107_1.m3u8?key=txiptv
收视指南,http://120.196.235.42:9901/tsfile/live/1091_1.m3u8?key=txiptv
本港台,http://120.196.235.42:9901/tsfile/live/1072_1.m3u8?key=txiptv
梅县1,http://120.196.235.42:9901/tsfile/live/1007_1.m3u8?key=txiptv
梅州1,http://120.196.235.42:9901/tsfile/live/1002_1.m3u8?key=txiptv
梅州2,http://120.196.235.42:9901/tsfile/live/1003_1.m3u8?key=txiptv
江门综合,http://120.196.235.42:9901/tsfile/live/1037_1.m3u8?key=txiptv
法治,http://120.196.235.42:9901/tsfile/live/1111_1.m3u8?key=txiptv
测试,http://120.196.235.42:9901/tsfile/live/1005_1.m3u8?key=txiptv
深圳龙岗频道,http://120.196.235.42:9901/tsfile/live/1008_1.m3u8?key=txiptv
热播剧场,http://120.196.235.42:9901/tsfile/live/1089_1.m3u8?key=txiptv
相声小品,http://120.196.235.42:9901/tsfile/live/1088_1.m3u8?key=txiptv
粤荟萃,http://120.196.235.42:9901/tsfile/live/1108_1.m3u8?key=txiptv
综合卫视,http://120.196.235.42:9901/tsfile/live/1085_1.m3u8?key=txiptv
谍战剧场,http://120.196.235.42:9901/tsfile/live/1047_1.m3u8?key=txiptv
足球,http://120.196.235.42:9901/tsfile/live/1109_1.m3u8?key=txiptv
野外,http://120.196.235.42:9901/tsfile/live/1110_1.m3u8?key=txiptv
魅力时尚,http://120.196.235.42:9901/tsfile/live/1090_1.m3u8?key=txiptv
更新时间,#genre#
2025-10-15 06:11:01,https://taoiptv.com/time.mp4
高速下载
